run,algorithm,array_size,execution_time_ms,memory_usage_kb,comparison_count
1,Bubble Sort,1000,1910.624,1534.981,499500
2,Bubble Sort,1000,1922.265,0.328,499500
3,Bubble Sort,1000,1867.094,0.328,499500
4,Bubble Sort,1000,1908.67,0.328,499500
5,Bubble Sort,1000,1880.33,0.328,499500
6,Bubble Sort,1000,1891.591,0.328,499500
7,Bubble Sort,1000,1944.747,0.328,499500
8,Bubble Sort,1000,1937.2,0.328,499500
9,Bubble Sort,1000,1903.105,0.328,499500
10,Bubble Sort,1000,1928.07,0.328,499500
11,Bubble Sort,1000,1905.952,0.328,499500
12,Bubble Sort,1000,1911.846,0.328,499500
13,Bubble Sort,1000,1917.9,0.328,499500
14,Bubble Sort,1000,1961.932,0.328,499500
15,Bubble Sort,1000,1929.027,0.328,499500
16,Bubble Sort,1000,1905.801,0.328,499500
17,Bubble Sort,1000,1913.855,0.328,499500
18,Bubble Sort,1000,1976.259,0.328,499500
19,Bubble Sort,1000,1914.681,0.328,499500
20,Bubble Sort,1000,1851.954,0.328,499500
21,Bubble Sort,1000,1859.008,0.328,499500
22,Bubble Sort,1000,1872.964,0.328,499500
23,Bubble Sort,1000,1949.369,0.328,499500
24,Bubble Sort,1000,1894.049,0.328,499500
25,Bubble Sort,1000,1879.522,0.328,499500
26,Bubble Sort,1000,1898.209,0.328,499500
27,Bubble Sort,1000,1910.39,0.328,499500
28,Bubble Sort,1000,1932.72,0.328,499500
29,Bubble Sort,1000,1925.742,0.328,499500
30,Bubble Sort,1000,1904.462,0.328,499500
31,Bubble Sort,1000,2002.545,0.328,499500
32,Bubble Sort,1000,1910.121,0.328,499500
33,Bubble Sort,1000,1895.519,0.328,499500
34,Bubble Sort,1000,1938.746,0.328,499500
35,Bubble Sort,1000,1917.022,0.328,499500
36,Bubble Sort,1000,1924.73,0.328,499500
37,Bubble Sort,1000,1923.039,0.328,499500
38,Bubble Sort,1000,1906.724,0.328,499500
39,Bubble Sort,1000,1902.959,0.328,499500
40,Bubble Sort,1000,1885.37,0.328,499500
41,Bubble Sort,1000,1909.454,0.328,499500
42,Bubble Sort,1000,1890.374,0.328,499500
43,Bubble Sort,1000,1891.6,0.328,499500
44,Bubble Sort,1000,1951.102,0.328,499500
45,Bubble Sort,1000,1906.634,0.328,499500
46,Bubble Sort,1000,1930.457,0.328,499500
47,Bubble Sort,1000,1991.365,0.328,499500
48,Bubble Sort,1000,1883.58,0.328,499500
49,Bubble Sort,1000,1942.855,0.328,499500
50,Bubble Sort,1000,1901.707,0.328,499500
51,Bubble Sort,1000,1887.289,0.328,499500
52,Bubble Sort,1000,1898.499,0.328,499500
53,Bubble Sort,1000,1942.924,0.328,499500
54,Bubble Sort,1000,1939.474,0.328,499500
55,Bubble Sort,1000,1933.595,0.328,499500
56,Bubble Sort,1000,1923.47,0.328,499500
57,Bubble Sort,1000,1878.528,0.328,499500
58,Bubble Sort,1000,1894.329,0.328,499500
59,Bubble Sort,1000,1909.406,0.328,499500
60,Bubble Sort,1000,1947.816,0.328,499500
61,Bubble Sort,1000,1896.822,0.328,499500
62,Bubble Sort,1000,1928.349,0.328,499500
63,Bubble Sort,1000,1879.125,0.328,499500
64,Bubble Sort,1000,1945.846,0.328,499500
65,Bubble Sort,1000,1921.772,0.328,499500
66,Bubble Sort,1000,1864.72,0.328,499500
67,Bubble Sort,1000,1884.711,0.328,499500
68,Bubble Sort,1000,1942.312,0.328,499500
69,Bubble Sort,1000,1941.349,0.328,499500
70,Bubble Sort,1000,1953.68,0.328,499500
71,Bubble Sort,1000,1953.079,0.328,499500
72,Bubble Sort,1000,1909.272,0.328,499500
73,Bubble Sort,1000,1888.06,0.328,499500
74,Bubble Sort,1000,1922.064,0.328,499500
75,Bubble Sort,1000,1907.03,0.328,499500
76,Bubble Sort,1000,1924.996,0.328,499500
77,Bubble Sort,1000,1885.334,0.328,499500
78,Bubble Sort,1000,1904.464,0.328,499500
79,Bubble Sort,1000,1895.39,0.328,499500
80,Bubble Sort,1000,1947.279,0.328,499500
81,Bubble Sort,1000,2009.701,0.328,499500
